Airline,Date,Month,Year,Baggage,Scheduled,Cancelled,Enplaned
American Eagle,01/2004,1,2004,12502,38276,2481,992360
American Eagle,02/2004,2,2004,8977,35762,886,1060618
American Eagle,03/2004,3,2004,10289,39445,1346,1227469
American Eagle,04/2004,4,2004,8095,38982,755,1234451
American Eagle,05/2004,5,2004,10618,40422,2206,1267581
American Eagle,06/2004,6,2004,13684,39879,1580,1347303
American Eagle,07/2004,7,2004,14121,41586,1819,1396642
American Eagle,08/2004,8,2004,12732,42016,1465,1339264
American Eagle,09/2004,9,2004,7895,40871,1077,1292147
American Eagle,10/2004,10,2004,9444,42381,1090,1393881
American Eagle,11/2004,11,2004,9582,40839,1568,1274530
American Eagle,12/2004,12,2004,17555,42629,1514,1308685
American Eagle,01/2005,1,2005,15361,43009,3152,1185194
American Eagle,02/2005,2,2005,9561,39900,1116,1213016
American Eagle,03/2005,3,2005,13002,44844,1344,1463518
American Eagle,04/2005,4,2005,11071,43778,987,1443118
American Eagle,05/2005,5,2005,12300,45943,1083,1558066
American Eagle,06/2005,6,2005,16373,44866,1234,1591497
American Eagle,07/2005,7,2005,19701,45669,1786,1581318
American Eagle,08/2005,8,2005,16666,46605,1468,1539095
American Eagle,09/2005,9,2005,12636,44408,1039,1473347
American Eagle,10/2005,10,2005,14258,45212,1000,1561466
American Eagle,11/2005,11,2005,14440,43016,774,1485296
American Eagle,12/2005,12,2005,24696,44782,1763,1473586
American Eagle,01/2006,1,2006,19255,44997,1338,1377354
American Eagle,02/2006,2,2006,17319,40682,1432,1321141
American Eagle,03/2006,3,2006,20344,45177,1420,1546954
American Eagle,04/2006,4,2006,19726,45721,1254,1573209
American Eagle,05/2006,5,2006,21248,47566,1678,1697845
American Eagle,06/2006,6,2006,22767,46443,1698,1727570
American Eagle,07/2006,7,2006,23184,47779,1857,1721446
American Eagle,08/2006,8,2006,27630,48096,1583,1648003
American Eagle,09/2006,9,2006,25922,45627,1952,1477269
American Eagle,10/2006,10,2006,24699,47259,1865,1610842
American Eagle,11/2006,11,2006,18954,44561,1555,1512933
American Eagle,12/2006,12,2006,28556,46180,2358,1477993
American Eagle,01/2007,1,2007,24190,45967,2583,1347578
American Eagle,02/2007,2,2007,20753,41203,2976,1275159
American Eagle,03/2007,3,2007,21928,45410,2045,1535239
American Eagle,04/2007,4,2007,19483,43582,1600,1497745
American Eagle,05/2007,5,2007,19209,46088,1027,1655266
American Eagle,06/2007,6,2007,26213,44952,2669,1647953
American Eagle,07/2007,7,2007,24993,46794,2041,1701542
American Eagle,08/2007,8,2007,23156,47061,1731,1659183
American Eagle,09/2007,9,2007,14816,44669,839,1496771
American Eagle,10/2007,10,2007,15351,46034,831,1604364
American Eagle,11/2007,11,2007,13946,44175,738,1508899
American Eagle,12/2007,12,2007,23762,44559,3712,1363546
American Eagle,01/2008,1,2008,17507,43454,2447,1277141
American Eagle,02/2008,2,2008,15795,40221,3025,1232636
American Eagle,03/2008,3,2008,17782,42159,2481,1395714
American Eagle,04/2008,4,2008,14566,42026,1007,1393970
American Eagle,05/2008,5,2008,13522,43348,1201,1491983
American Eagle,06/2008,6,2008,15620,43921,1865,1530847
American Eagle,07/2008,7,2008,12885,45287,1127,1562891
American Eagle,08/2008,8,2008,12148,43704,1167,1438511
American Eagle,09/2008,9,2008,8729,39471,984,1235949
American Eagle,10/2008,10,2008,9110,38170,295,1347035
American Eagle,11/2008,11,2008,7591,33908,370,1163062
American Eagle,12/2008,12,2008,15475,35024,2362,1174653
American Eagle,01/2009,1,2009,10231,34937,1431,1048488
American Eagle,02/2009,2,2009,7538,31965,511,1059322
American Eagle,03/2009,3,2009,10093,35929,883,1294140
American Eagle,04/2009,4,2009,10547,35759,1164,1236837
American Eagle,05/2009,5,2009,10279,37408,819,1381736
American Eagle,06/2009,6,2009,13220,36732,1126,1421197
American Eagle,07/2009,7,2009,11625,38097,827,1472255
American Eagle,08/2009,8,2009,10832,38205,623,1387128
American Eagle,09/2009,9,2009,7052,36786,439,1285218
American Eagle,10/2009,10,2009,10000,38125,863,1405670
American Eagle,11/2009,11,2009,7081,36247,266,1305067
American Eagle,12/2009,12,2009,12496,36819,2167,1250744
American Eagle,01/2010,1,2010,11059,36742,1401,1153690
American Eagle,02/2010,2,2010,8973,33320,2203,1068668
American Eagle,03/2010,3,2010,9762,37089,623,1346148
American Eagle,04/2010,4,2010,7864,35991,443,1321341
American Eagle,05/2010,5,2010,9399,36660,1047,1360525
American Eagle,06/2010,6,2010,10431,35738,1359,1356955
American Eagle,07/2010,7,2010,9840,37066,950,1403151
American Eagle,08/2010,8,2010,9583,37697,538,1388344
American Eagle,09/2010,9,2010,8324,36524,630,1336997
American Eagle,10/2010,10,2010,8498,37766,542,1462312
American Eagle,11/2010,11,2010,8067,35778,335,1346419
American Eagle,12/2010,12,2010,11526,36605,2004,1298950
Hawaiian,01/2004,1,2004,1717,3879,28,461353
Hawaiian,02/2004,2,2004,1599,3743,34,446091
Hawaiian,03/2004,3,2004,1327,4052,16,501722
Hawaiian,04/2004,4,2004,1350,3918,8,466457
Hawaiian,05/2004,5,2004,1304,3976,8,460080
Hawaiian,06/2004,6,2004,1697,4162,5,492016
Hawaiian,07/2004,7,2004,1398,4445,7,533961
Hawaiian,08/2004,8,2004,1259,4469,19,521848
Hawaiian,09/2004,9,2004,1033,3810,11,423446
Hawaiian,10/2004,10,2004,1176,3856,5,447347
Hawaiian,11/2004,11,2004,1084,3796,9,441357
Hawaiian,12/2004,12,2004,1146,3971,12,444962
Hawaiian,01/2005,1,2005,1206,3928,21,442750
Hawaiian,02/2005,2,2005,1154,3553,1,431337
Hawaiian,03/2005,3,2005,1541,3921,6,500637
Hawaiian,04/2005,4,2005,1348,3889,5,464714
Hawaiian,05/2005,5,2005,1408,4019,6,507267
Hawaiian,06/2005,6,2005,1625,4137,8,508540
Hawaiian,07/2005,7,2005,1906,4400,4,552110
Hawaiian,08/2005,8,2005,1726,4382,3,537881
Hawaiian,09/2005,9,2005,1236,3957,5,473588
Hawaiian,10/2005,10,2005,1443,4029,0,512877
Hawaiian,11/2005,11,2005,1286,3898,9,490377
Hawaiian,12/2005,12,2005,1629,4070,1,506095
Hawaiian,01/2006,1,2006,1461,4140,0,489382
Hawaiian,02/2006,2,2006,1388,3744,6,463430
Hawaiian,03/2006,3,2006,2049,4145,13,517490
Hawaiian,04/2006,4,2006,1522,4016,5,490053
Hawaiian,05/2006,5,2006,1305,4131,12,508123
Hawaiian,06/2006,6,2006,1411,4419,13,542449
Hawaiian,07/2006,7,2006,1530,4778,11,575025
Hawaiian,08/2006,8,2006,1733,4762,25,554502
Hawaiian,09/2006,9,2006,1421,4407,31,490547
Hawaiian,10/2006,10,2006,1757,4545,75,530938
Hawaiian,11/2006,11,2006,1790,4440,26,534369
Hawaiian,12/2006,12,2006,2252,4646,36,560600
Hawaiian,01/2007,1,2007,2046,4622,11,549796
Hawaiian,02/2007,2,2007,1922,4172,14,524955
Hawaiian,03/2007,3,2007,2331,4683,1,612430
Hawaiian,04/2007,4,2007,1583,4565,11,576588
Hawaiian,05/2007,5,2007,1601,4707,10,592947
Hawaiian,06/2007,6,2007,2163,4808,10,622323
Hawaiian,07/2007,7,2007,2529,5060,32,662723
Hawaiian,08/2007,8,2007,2013,5036,40,649813
Hawaiian,09/2007,9,2007,2064,4581,17,583692
Hawaiian,10/2007,10,2007,2069,4707,10,613250
Hawaiian,11/2007,11,2007,2086,4543,32,594544
Hawaiian,12/2007,12,2007,1962,4691,50,569867
Hawaiian,01/2008,1,2008,1795,4679,36,571983
Hawaiian,02/2008,2,2008,1273,4390,11,565330
Hawaiian,03/2008,3,2008,1511,4705,36,618526
Hawaiian,04/2008,4,2008,2449,4611,29,721016
Hawaiian,05/2008,5,2008,2696,4688,15,747604
Hawaiian,06/2008,6,2008,2618,5301,17,702221
Hawaiian,07/2008,7,2008,2791,5632,151,736335
Hawaiian,08/2008,8,2008,2121,5597,47,734667
Hawaiian,09/2008,9,2008,1428,4892,11,603908
Hawaiian,10/2008,10,2008,1556,5435,27,656306
Hawaiian,11/2008,11,2008,1532,5783,60,636848
Hawaiian,12/2008,12,2008,1803,6113,130,652571
Hawaiian,01/2009,1,2009,1303,6273,30,646859
Hawaiian,02/2009,2,2009,1389,5658,8,650746
Hawaiian,03/2009,3,2009,1323,6137,4,727045
Hawaiian,04/2009,4,2009,1300,5876,26,689131
Hawaiian,05/2009,5,2009,1251,6122,16,705438
Hawaiian,06/2009,6,2009,1381,6133,26,718871
Hawaiian,07/2009,7,2009,1573,6645,4,784873
Hawaiian,08/2009,8,2009,1604,6602,18,758452
Hawaiian,09/2009,9,2009,1313,5904,8,691608
Hawaiian,10/2009,10,2009,1319,6076,3,709977
Hawaiian,11/2009,11,2009,1140,5611,5,672635
Hawaiian,12/2009,12,2009,1179,5833,2,710349
Hawaiian,01/2010,1,2010,1326,5734,4,677553
Hawaiian,02/2010,2,2010,1200,5094,17,634551
Hawaiian,03/2010,3,2010,1180,5453,1,714208
Hawaiian,04/2010,4,2010,1076,5333,2,670004
Hawaiian,05/2010,5,2010,1264,5511,1,695125
Hawaiian,06/2010,6,2010,1360,5864,7,741180
Hawaiian,07/2010,7,2010,1386,6392,2,819776
Hawaiian,08/2010,8,2010,1283,6349,4,798306
Hawaiian,09/2010,9,2010,1912,5484,2,664689
Hawaiian,10/2010,10,2010,2265,5529,1,708640
Hawaiian,11/2010,11,2010,2020,5328,5,678689
Hawaiian,12/2010,12,2010,2705,5578,15,715961
United,01/2004,1,2004,25015,45809,1017,4434315
United,02/2004,2,2004,16660,42675,312,4458657
United,03/2004,3,2004,19318,46512,321,5302929
United,04/2004,4,2004,15638,45309,162,5288871
United,05/2004,5,2004,19302,46630,652,5408451
United,06/2004,6,2004,21892,47663,549,5888419
United,07/2004,7,2004,26666,49860,605,6114334
United,08/2004,8,2004,25510,50837,666,6137271
United,09/2004,9,2004,13305,45832,778,5070901
United,10/2004,10,2004,17736,47012,386,5386126
United,11/2004,11,2004,15812,43060,337,4838455
United,12/2004,12,2004,32458,44613,763,5050794
United,01/2005,1,2005,25861,41537,1208,4472688
United,02/2005,2,2005,18647,37155,260,4131854
United,03/2005,3,2005,22264,40633,212,4971673
United,04/2005,4,2005,14262,39119,734,4628657
United,05/2005,5,2005,19977,41045,453,5000294
United,06/2005,6,2005,28024,40962,533,5304153
United,07/2005,7,2005,23513,42173,618,5401240
United,08/2005,8,2005,21000,42077,486,5252634
United,09/2005,9,2005,14138,39412,391,4589154
United,10/2005,10,2005,16628,40830,400,4882465
United,11/2005,11,2005,15254,39686,259,4701413
United,12/2005,12,2005,29235,41289,742,4851280
United,01/2006,1,2006,23232,40336,786,4539705
United,02/2006,2,2006,18551,37729,768,4334906
United,03/2006,3,2006,22246,42644,869,5256828
United,04/2006,4,2006,18019,40872,617,5083738
United,05/2006,5,2006,19996,42714,711,5126212
United,06/2006,6,2006,27588,42223,784,5271180
United,07/2006,7,2006,30325,43350,956,5618165
United,08/2006,8,2006,39123,44062,582,5375597
United,09/2006,9,2006,37039,40830,680,4707524
United,10/2006,10,2006,35640,42495,784,5079915
United,11/2006,11,2006,28896,40745,472,4757928
United,12/2006,12,2006,40483,42008,2229,4668833
United,01/2007,1,2007,41787,41310,653,4606808
United,02/2007,2,2007,34581,37665,1863,4262812
United,03/2007,3,2007,33920,42714,946,5317182
United,04/2007,4,2007,25667,40822,982,5151605
United,05/2007,5,2007,25524,41520,370,5279051
United,06/2007,6,2007,31242,40987,848,5363878
United,07/2007,7,2007,30356,42486,912,5424919
United,08/2007,8,2007,29331,43176,1189,5411763
United,09/2007,9,2007,18033,39276,654,4524961
United,10/2007,10,2007,20147,41235,725,4921731
United,11/2007,11,2007,16927,38803,515,4555410
United,12/2007,12,2007,33269,40008,2272,4331051
United,01/2008,1,2008,26113,38026,1481,4033374
United,02/2008,2,2008,22059,36764,1519,4056110
United,03/2008,3,2008,23932,40449,934,4920724
United,04/2008,4,2008,22994,38797,682,4679752
United,05/2008,5,2008,23217,39864,718,4874174
United,06/2008,6,2008,29690,40237,1204,5068394
United,07/2008,7,2008,26604,41381,1328,5117094
United,08/2008,8,2008,32827,40325,844,5062719
United,09/2008,9,2008,17551,44047,404,4168949
United,10/2008,10,2008,15429,35482,238,4445721
United,11/2008,11,2008,13138,31040,254,3724922
United,12/2008,12,2008,29803,32643,1000,3962678
United,01/2009,1,2009,19653,31508,728,3573605
United,02/2009,2,2009,12627,29896,505,3433448
United,03/2009,3,2009,16285,34554,783,4272285
United,04/2009,4,2009,13517,31387,579,4034232
United,05/2009,5,2009,15083,31798,400,4107447
United,06/2009,6,2009,22844,32990,661,4423143
United,07/2009,7,2009,19259,33948,533,4627521
United,08/2009,8,2009,18646,33622,488,4520375
United,09/2009,9,2009,11270,29860,255,3755891
United,10/2009,10,2009,14513,30637,420,4008420
United,11/2009,11,2009,9814,27739,177,3540350
United,12/2009,12,2009,22845,29110,849,3652201
United,01/2010,1,2010,17307,27744,451,3368014
United,02/2010,2,2010,13269,26091,1469,3155234
United,03/2010,3,2010,14782,29704,465,3977181
United,04/2010,4,2010,11121,28178,186,3782503
United,05/2010,5,2010,11947,28874,292,3921376
United,06/2010,6,2010,15784,29314,416,4121856
United,07/2010,7,2010,14309,30386,383,4249219
United,08/2010,8,2010,14099,30637,344,4263211
United,09/2010,9,2010,9435,28072,161,3679517
United,10/2010,10,2010,9565,29144,140,3952549
United,11/2010,11,2010,8597,27318,104,3573268
United,12/2010,12,2010,14415,27619,599,3493643
